Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Enteromius unitaeniatus,Enteromius,unitaeniatus,1423448,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius urostigma,Enteromius,urostigma,1525759,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius usambarae,Enteromius,usambarae,1526117,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius validus,Enteromius,validus,1524488,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius vanderysti,Enteromius,vanderysti,1525059,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius vandewallei,Enteromius,vandewallei,1384996,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius venustus,Enteromius,venustus,1524243,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius viktorianus,Enteromius,viktorianus,1525476,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius viviparus,Enteromius,viviparus,1468429,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius walkeri,Enteromius,walkeri,1470711,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius walshae,Enteromius,walshae,1524239,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius wellmani,Enteromius,wellmani,1526010,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius yardiensis,Enteromius,yardiensis,1523792,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius yeiensis,Enteromius,yeiensis,1525541,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius yongei,Enteromius,yongei,1524788,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius zalbiensis,Enteromius,zalbiensis,1524783,Likely to produce sound under natural conditions but unconfirmed,452075,
Enteromius zanzibaricus,Enteromius,zanzibaricus,1421108,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus cadenati,Entomacrodus,cadenati,277240,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus caudofasciatus,Entomacrodus,caudofasciatus,277241,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus chapmani,Entomacrodus,chapmani,277242,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus chiostictus,Entomacrodus,chiostictus,277243,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus corneliae,Entomacrodus,corneliae,277244,Likely to produce sound under natural conditions but unconfirmed,452075,
